breakpoints,primitives,points,q_bp
24000,movej_fit,"[array([1854.41005712, -460.62837873,  866.90892991])]","[array([ 0.05061679,  0.5912946 , -0.04889114,  2.21686724, -1.3880643 ,
       -3.11102869])]"
24500,movej_fit,"[array([1862.95378262, -466.20553921,  865.67077832])]","[array([ 0.04297791,  0.59219463, -0.06210805,  2.2335742 , -1.37714445,
       -3.10110063])]"
25000,movej_fit,"[array([1871.4329835 , -471.91470041,  864.60258319])]","[array([ 0.03443589,  0.59218777, -0.07566779,  2.25333865, -1.36495975,
       -3.08978401])]"
25500,movej_fit,"[array([1879.83182633, -477.76354847,  863.67530971])]","[array([ 0.02491687,  0.59130783, -0.08945941,  2.27625954, -1.35154253,
       -3.0770275 ])]"
26000,movej_fit,"[array([1888.13797077, -483.76066627,  862.85617311])]","[array([ 0.01435697,  0.58961545, -0.10334885,  2.30237864, -1.33695781,
       -3.06280166])]"
26500,movej_fit,"[array([1896.33790155, -489.91114086,  862.11015829])]","[array([ 2.71972730e-03,  5.87204368e-01, -1.17172989e-01,  2.33164061e+00,
       -1.32132039e+00, -3.04711869e+00])]"
27000,movej_fit,"[array([1904.42229035, -496.21914594,  861.40053526])]","[array([-0.00999623,  0.58420525, -0.13075525,  2.36388105, -1.30479451,
       -3.03003733])]"
27500,movej_fit,"[array([1912.38124883, -502.68291999,  860.69041826])]","[array([-0.02373543,  0.58078939, -0.14391066,  2.39878434, -1.28760924,
       -3.01168581])]"
28000,movej_fit,"[array([1920.21120943, -509.29867681,  859.94330855])]","[array([-0.03838411,  0.577164  , -0.15647604,  2.43589632, -1.27004531,
       -2.99225801])]"
28500,movej_fit,"[array([1927.91078689, -516.05588315,  859.12461319])]","[array([-0.0537577 ,  0.57356584, -0.16832483,  2.47460949, -1.25243677,
       -2.97202693])]"
29000,movej_fit,"[array([1935.48535848, -522.93975892,  858.20228263])]","[array([-0.06961259,  0.57024529, -0.17939392,  2.51420639, -1.23514502,
       -2.95132967])]"
29500,movej_fit,"[array([1942.94285004, -529.92629145,  857.14830539])]","[array([-0.08565073,  0.56745024, -0.18968912,  2.55387807, -1.21854479,
       -2.93056562])]"
30000,movej_fit,"[array([1950.3039908 , -536.99083194,  855.93809039])]","[array([-0.10156263,  0.56540339, -0.19929938,  2.59282966, -1.20297352,
       -2.91014685])]"
30500,movej_fit,"[array([1957.59504819, -544.100879  ,  854.55173603])]","[array([-0.11703527,  0.56429124, -0.20837374,  2.63029154, -1.18872356,
       -2.89049355])]"
31000,movej_fit,"[array([1964.84518715, -551.21286405,  852.975044  ])]","[array([-0.13176673,  0.56425499, -0.21709897,  2.66554525, -1.17602846,
       -2.87201716])]"
31500,movej_fit,"[array([1972.09413771, -558.27968136,  851.19805475])]","[array([-0.14549684,  0.56538839, -0.22568734,  2.69798706, -1.1650405 ,
       -2.8550802 ])]"
32000,movej_fit,"[array([1979.38593366, -565.24524437,  849.21589306])]","[array([-0.15800026,  0.56774453, -0.2343506 ,  2.72710285, -1.15584664,
       -2.84000126])]"
32500,movej_fit,"[array([1986.77148624, -572.04837922,  847.02732631])]","[array([-0.16909054,  0.57134707, -0.24329143,  2.75247143, -1.14847753,
       -2.82704633])]"
33000,movej_fit,"[array([1994.30247386, -578.61960986,  844.63511725])]","[array([-0.17860544,  0.57620112, -0.25269153,  2.77372518, -1.14293237,
       -2.81644429])]"
33500,movej_fit,"[array([2002.02713239, -584.88221252,  842.04558971])]","[array([-0.18639853,  0.58230227, -0.26270672,  2.79052637, -1.13919774,
       -2.80839622])]"
34000,movej_fit,"[array([2009.98766022, -590.7572757 ,  839.2668765 ])]","[array([-0.19233586,  0.58964589, -0.27346699,  2.80255381, -1.13726306,
       -2.80308096])]"
34500,movej_fit,"[array([2018.20970146, -596.16559767,  836.30912976])]","[array([-0.19629072,  0.59822806, -0.28506659,  2.80948545, -1.13713447,
       -2.80066254])]"
35000,movej_fit,"[array([2026.69148663, -601.03393373,  833.18471445])]","[array([-0.19815083,  0.60804078, -0.29755042,  2.81101076, -1.13883739,
       -2.80128105])]"
35500,movej_fit,"[array([2035.42843331, -605.32029304,  829.89550588])]","[array([-0.19783199,  0.61910751, -0.31095029,  2.80684668, -1.14242502,
       -2.80504743])]"
36000,movej_fit,"[array([2044.37935371, -609.0014827 ,  826.44303941])]","[array([-0.19527611,  0.6314488 , -0.32523185,  2.79673825, -1.14797235,
       -2.81203542])]"
36500,movej_fit,"[array([2053.48691209, -612.08821209,  822.82118096])]","[array([-0.19046619,  0.64510178, -0.34031333,  2.78048661, -1.15556917,
       -2.82226647])]"
37000,movej_fit,"[array([2062.68875596, -614.62465489,  819.0142751 ])]","[array([-0.18342645,  0.66012763, -0.35606789,  2.75794599, -1.16531345,
       -2.83570877])]"
37500,movej_fit,"[array([2071.92294627, -616.68103044,  814.9990934 ])]","[array([-0.17422534,  0.67660395, -0.37231097,  2.72903132, -1.17729238,
       -2.85226937])]"
38000,movej_fit,"[array([2081.13011138, -618.34463009,  810.74895931])]","[array([-0.16298991,  0.69460243, -0.38877848,  2.69375713, -1.19154676,
       -2.87177221])]"
38500,movej_fit,"[array([2090.26057532, -619.71272903,  806.23556306])]","[array([-0.14992247,  0.71416703, -0.40511733,  2.65228171, -1.20803286,
       -2.8939422 ])]"
39000,movej_fit,"[array([2099.27196388, -620.88539579,  801.43460198])]","[array([-0.13533168,  0.73526836, -0.42087518,  2.60500457, -1.22656926,
       -2.91837372])]"
39500,movej_fit,"[array([2108.12834811, -621.96082965,  796.33091377])]","[array([-0.11965837,  0.75775927, -0.43552751,  2.55267423, -1.24679633,
       -2.94451123])]"
40000,movej_fit,"[array([2116.8019419 , -623.03219827,  790.92230622])]","[array([-0.10347408,  0.78135084, -0.44855842,  2.49645546, -1.26817531,
       -2.97166029])]"
40500,movej_fit,"[array([2125.27617464, -624.18529882,  785.22210718])]","[array([-0.08743719,  0.80562404, -0.45958423,  2.43790885, -1.29003977,
       -2.99903253])]"
41000,movej_fit,"[array([2133.54495162, -625.49627103,  779.26362556])]","[array([-0.07221716,  0.83006777, -0.46847202,  2.37888924, -1.31167525,
       -3.025801  ])]"
41500,movej_fit,"[array([2141.62186157, -627.03154389,  773.09661619])]","[array([-0.05838449,  0.85417117, -0.47541229,  2.32128422, -1.33242956,
       -3.05119541])]"
42000,movej_fit,"[array([2149.53410552, -628.84642689,  766.79338738])]","[array([-0.04635033,  0.87746966, -0.48088395,  2.2668413 , -1.35175362,
       -3.07453775])]"
42500,movej_fit,"[array([2157.32832402, -630.98661669,  760.44539786])]","[array([-0.03633093,  0.89960283, -0.48556166,  2.21697063, -1.36923207,
       -3.09529282])]"
43000,movej_fit,"[array([2165.06896918, -633.48962044,  754.16434699])]","[array([-0.02837397,  0.92031935, -0.4901976 ,  2.17270696, -1.38456337,
       -3.11306388])]"
43500,movej_fit,"[array([2172.83239899, -636.38537422,  748.08564474])]","[array([-0.02241525,  0.93944932, -0.49553147,  2.13478625, -1.39752104,
       -3.12755422])]"
44000,movej_fit,"[array([2180.70184564, -639.69736247,  742.36776011])]","[array([-0.0183358 ,  0.95687478, -0.50224595,  2.10375538, -1.40792454,
       -3.13852269])]"
44500,movej_fit,"[array([2188.75093947, -643.43970444,  737.19219603])]","[array([-0.01601274,  0.97248592, -0.51094557,  2.08011604, -1.41561265,
       -3.14573033])]"
45000,movej_fit,"[array([2197.02222367, -647.61197134,  732.7508319 ])]","[array([-0.01534845,  0.98615882, -0.52213405,  2.06440118, -1.42044882,
       -3.14892011])]"
45500,movej_fit,"[array([2205.50395104, -652.19367971,  729.21457887])]","[array([-0.01628114,  0.99776472, -0.53617064,  2.05715471, -1.42236235,
       -3.14784154])]"
46000,movej_fit,"[array([2214.13427432, -657.1531785 ,  726.68306244])]","[array([-0.01878947,  1.0072292 , -0.55325083,  2.05882866, -1.42140932,
       -3.14230004])]"
46500,movej_fit,"[array([2222.8024486 , -662.45158445,  725.15600246])]","[array([-0.02289641,  1.01456144, -0.5733814 ,  2.0697102 , -1.4178065 ,
       -3.13219624])]"
47000,movej_fit,"[array([2231.38768276, -668.06115052,  724.52888696])]","[array([-0.02867783,  1.01988747, -0.59643289,  2.08989675, -1.41192712,
       -3.117527  ])]"
47500,movej_fit,"[array([2239.78978204, -673.97559234,  724.62603506])]","[array([-0.03627061,  1.02343566, -0.62219995,  2.11935836, -1.40425589,
       -3.09835288])]"
48000,movej_fit,"[array([2247.9382853 , -680.2068609 ,  725.24263431])]","[array([-0.04586007,  1.02550556, -0.65040686,  2.15795831, -1.39534944,
       -3.07480135])]"
48500,movej_fit,"[array([2255.78758359, -686.77347579,  726.17410251])]","[array([-0.0576338 ,  1.02644913, -0.68064937,  2.20534726, -1.38581378,
       -3.04714169])]"
49000,movej_fit,"[array([2263.31474982, -693.69174315,  727.23137637])]","[array([-0.07170963,  1.02666425, -0.71233444,  2.26078558, -1.37626843,
       -3.01589028])]"
49500,movej_fit,"[array([2270.5097303 , -700.95933694,  728.24630084])]","[array([-0.088023  ,  1.02658431, -0.74461513,  2.32287579, -1.36729469,
       -2.98194897])]"
50000,movej_fit,"[array([2277.38401812, -708.55452751,  729.07579413])]","[array([-0.10628731,  1.02665746, -0.77655203,  2.38963776, -1.359333  ,
       -2.94653075])]"
