max_cartesian_error_joint (mm),max_cartesian_error_index_joint (mm),avg_cartesian_error_joint (mm),max_orientation_error_joint  (rad),max_z_error_joint (mm),average_z_error_joint (mm),max_cartesian_error_cartesian (mm),max_cartesian_error_index_cartesian (mm),avg_cartesian_error_cartesian (mm),max_orientation_error _cartesian (rad),max_z_error_cartesian (mm),average_z_error_cartesian (mm),,,,,A-G,C-I
0.00965792,0,0.003274903,0.023113794,0.002012159,-7.10E-05,0.006632115,0,0.002576767,0.641078788,0.001642993,-7.00E-05,,,,,0.003025805,0.000698136
0.009456408,0,0.003234574,0.022978522,0.00203361,-0.000140719,0.006430581,0,0.002483401,0.65105004,0.001465745,-0.000140803,,,,,0.003025827,0.000751173
0.00923286,0,0.003192818,0.022811182,0.002182046,-0.00014072,0.006213299,0,0.002397802,0.660835694,0.001362288,-0.000140803,,,,,0.003019562,0.000795016
0.060290163,99,0.024960751,0.034258663,0.040560914,-0.005956868,0.087137359,0,0.073760972,0.670429051,0.00146334,-0.000106379,,,,,-0.026847195,-0.04880022
1.934012176,0,0.821524766,0.087174171,3.395990202,-1.879933632,0.274929536,0,0.147328514,0.67566748,0.001372576,8.96E-05,,,,,1.659082639,0.674196252
0.009110238,0,0.003176466,0.023980466,0.002746671,-0.000140742,0.00558343,0,0.002180227,0.687627698,0.001087134,-0.000140804,,,,,0.003526808,0.000996239
0.008914425,0,0.00312694,0.02389403,0.002888031,-0.000140742,0.005375994,0,0.002098323,0.695776633,0.000992909,-0.000140804,,,,,0.003538432,0.001028617
0.008701624,0,0.003071807,0.023782047,0.003337881,6.15E-05,0.005115939,0,0.002025989,0.703752797,0.001103815,6.25E-05,,,,,0.003585686,0.001045818
0.008513336,0,0.003033999,0.023729145,0.003419384,0.000113397,0.004955681,0,0.001933126,0.711549964,0.001061982,0.000113336,,,,,0.003557654,0.001100872
0.008308348,0,0.002991349,0.0236504,0.003555614,0.000113397,0.004744617,0,0.001849541,0.719167748,0.000971155,0.000113336,,,,,0.003563732,0.001141807
0.023855183,0,0.010668153,0.02706851,0.015574035,-0.003161961,0.023569228,99,0.010366567,0.726600431,0.000883948,0.000114572,,,,,0.000285955,0.000301586
2.002766683,99,1.060782141,0.066247514,-0.065329389,-1.233820728,0.181962545,0,0.131667313,0.733553131,0.001142465,0.000115462,,,,,1.820804138,0.929114828
0.010129678,0,0.004622119,0.035767494,0.00578238,0.000113456,0.004140917,0,0.001643364,0.740618026,0.000661035,0.000113336,,,,,0.005988761,0.002978756
0.009916752,0,0.004579067,0.035753414,0.005912032,0.000113456,0.003949822,0,0.001566833,0.747290773,0.000576932,0.000113336,,,,,0.00596693,0.003012234
0.00970042,0,0.004536581,0.035738736,0.006038474,0.000113455,0.003756738,0,0.001489456,0.75384079,0.000494279,0.000113336,,,,,0.005943682,0.003047125
0.009461674,0,0.004490133,0.035707652,0.006107078,3.89E-05,0.003578359,0,0.001414235,0.760262021,0.000343354,4.00E-05,,,,,0.005883315,0.003075898
0.009257845,0,0.004453814,0.035710373,0.006159387,-8.73E-06,0.003363606,0,0.00133241,0.766547505,0.000211185,-8.84E-06,,,,,0.005894238,0.003121404
0.009031996,0,0.004413803,0.035696228,0.006276325,-8.73E-06,0.003164925,0,0.001252573,0.772694427,0.000133116,-8.84E-06,,,,,0.005867072,0.00316123
0.008803031,0,0.004374696,0.035681969,0.006389993,-8.73E-06,0.002964403,0,0.001171964,0.77869638,5.68E-05,-8.84E-06,,,,,0.005838628,0.003202733
0.117999619,0,0.052085454,0.051334316,0.087982762,-0.017514221,0.075834685,99,0.043047019,0.784548511,7.00E-05,9.10E-06,,,,,0.042164934,0.009038434
0.007961542,49,0.004716132,0.035276061,0.006604468,-8.72E-06,0.00256365,0,0.001025716,0.789328357,0.000132498,-8.85E-06,,,,,0.005397892,0.003690416
0.007904487,49,0.004692268,0.035260328,0.006710605,-8.72E-06,0.002374069,0,0.000949344,0.788841945,0.000239387,-8.85E-06,,,,,0.005530418,0.003742923
1.317454974,99,1.157255151,0.0602956,-1.035613135,-1.085797442,0.499085143,0,0.220423578,0.788225787,0.007226737,-0.001245052,,,,,0.818369831,0.936831573
0.0081399,0,0.003998263,0.029975842,0.007552953,-8.76E-06,0.001988793,0,0.000793688,0.801777638,0.000513901,-8.85E-06,,,,,0.006151107,0.003204575
0.007934615,0,0.003962941,0.029990699,0.007672641,-8.76E-06,0.001793465,0,0.000714898,0.805418783,0.000641613,-8.85E-06,,,,,0.00614115,0.003248044
0.007727153,0,0.003928449,0.030003638,0.007790382,-8.76E-06,0.001596687,0,0.000635512,0.808914049,0.00076697,-8.85E-06,,,,,0.006130466,0.003292937
0.007527266,0,0.003898761,0.030008906,0.007915533,-2.02E-05,0.001431063,99,0.000551526,0.812259797,0.000879762,-1.99E-05,,,,,0.006096203,0.003347235
0.007306114,0,0.003862202,0.030024341,0.007798062,-0.00023079,0.001198613,0,0.000475024,0.81545201,0.000788532,-0.000230876,,,,,0.006107502,0.003387178
0.007092731,0,0.003830542,0.030031927,0.007910097,-0.00023079,0.000997637,0,0.000393911,0.8184886,0.000906742,-0.000230876,,,,,0.006095094,0.003436631
0.006877584,0,0.003799896,0.030037636,0.008020255,-0.00023079,0.000795291,0,0.000312254,0.821365923,0.001022541,-0.000230876,,,,,0.006082293,0.003487643
0.006660816,0,0.003770304,0.030041484,0.008128566,-0.000230791,0.000591616,0,0.000230077,0.824081097,0.001135918,-0.000230876,,,,,0.006069201,0.003540227
2.288035433,99,1.039319006,0.042000899,0.639893846,-0.72795868,0.390909909,0,0.305838258,0.826631428,0.008441329,-0.000712274,,,,,1.897125523,0.733480748
0.004636463,49,0.003563316,0.027557193,0.006592047,-0.000230786,0.000149869,0,5.32E-05,0.835827637,0.001353378,-0.000230877,,,,,0.004486594,0.003510132
0.004544893,49,0.00354611,0.027556976,0.006714733,-0.000230786,8.03E-05,99,2.79E-05,0.834671814,0.001457992,-0.000230877,,,,,0.004464563,0.003518215
0.020073697,0,0.009775596,0.031250843,0.019082994,-0.005579059,0.019634612,0,0.010164901,0.833384874,0.00156315,-0.000229624,,,,,0.000439085,-0.000389306
0.006182276,0,0.003816912,0.026787602,0.009788608,-0.000230794,0.000508006,99,0.000195415,0.834247193,0.001682064,-0.000230877,,,,,0.00567427,0.003621497
