breakpoints,primitives,p_bp,q_bp
35999,movel_fit,"[array([951.91234763, 223.6311235 , 163.07570682])]","[array([ 0.04633736,  0.11836781, -0.19473359, -0.43118505, -1.92738493,
        1.53384164])]"
36499,movel_fit,"[array([950.48690191, 233.78442919, 164.03059465])]","[array([ 0.05542162,  0.1130069 , -0.19695238, -0.43300961, -1.92736192,
        1.58986458])]"
36999,movel_fit,"[array([948.55051826, 243.80569173, 165.3713046 ])]","[array([ 0.06496237,  0.0999087 , -0.20332698, -0.43239366, -1.91977986,
        1.64254481])]"
37499,movel_fit,"[array([946.05249408, 253.66710646, 166.98233555])]","[array([ 0.07488919,  0.07860653, -0.21444943, -0.42961273, -1.90402839,
        1.69042459])]"
37999,movel_fit,"[array([943.11352403, 263.36917102, 168.72459961])]","[array([ 0.08522706,  0.04888889, -0.23073555, -0.42494409, -1.87966526,
        1.73279187])]"
38499,movel_fit,"[array([939.8210408 , 272.95768607, 170.47867187])]","[array([ 0.09608642,  0.01070385, -0.25257774, -0.41872935, -1.84657494,
        1.76945754])]"
38999,movel_fit,"[array([936.18521842, 282.4358679 , 172.10904057])]","[array([ 0.10762499, -0.03575425, -0.28029671, -0.41126342, -1.805064  ,
        1.8005224 ])]"
39499,movel_fit,"[array([932.2751247 , 291.853587  , 173.52188131])]","[array([ 0.12005787, -0.08990135, -0.31388709, -0.40285356, -1.75580179,
        1.82612783])]"
39999,movel_fit,"[array([928.12616029, 301.19198717, 174.60730231])]","[array([ 0.1335827 , -0.15059751, -0.35293736, -0.39370582, -1.70003331,
        1.84623829])]"
40499,movel_fit,"[array([923.83255495, 310.51565578, 175.36793989])]","[array([ 0.14839163, -0.21629773, -0.39654634, -0.38404729, -1.63930716,
        1.86050124])]"
40999,movel_fit,"[array([919.43499378, 319.7958945 , 175.79301701])]","[array([ 0.16453212, -0.28500531, -0.44340671, -0.37401245, -1.57559105,
        1.86817089])]"
41499,movel_fit,"[array([914.99338868, 329.06491119, 175.85261575])]","[array([ 0.18197348, -0.35460743, -0.49202536, -0.36373246, -1.51075827,
        1.86809128])]"
41999,movel_fit,"[array([910.65731854, 338.38979293, 175.5175867 ])]","[array([ 0.20055523, -0.42308447, -0.54089994, -0.35337633, -1.44630378,
        1.85879508])]"
42499,movel_fit,"[array([906.51975603, 347.77509092, 174.94134325])]","[array([ 0.21993311, -0.48878995, -0.58861194, -0.34316251, -1.38349848,
        1.83852142])]"
42999,movel_fit,"[array([902.63347961, 357.26597133, 174.11106708])]","[array([ 0.23981018, -0.55054173, -0.63421288, -0.3332327 , -1.32296062,
        1.80517199])]"
43499,movel_fit,"[array([899.14568684, 366.88092234, 173.14206141])]","[array([ 0.25987094, -0.60750376, -0.67691764, -0.32362111, -1.26484422,
        1.75650748])]"
43999,movel_fit,"[array([896.1642478 , 376.67724587, 172.21406364])]","[array([ 0.28003114, -0.65903783, -0.71604415, -0.31395761, -1.20909086,
        1.69012401])]"
44499,movel_fit,"[array([893.86567602, 386.6697411 , 171.43008966])]","[array([ 0.3004062 , -0.70416867, -0.75074904, -0.30322012, -1.15576834,
        1.60414148])]"
44999,movel_fit,"[array([892.36618425, 396.83068511, 170.89065134])]","[array([ 0.32123676, -0.741225  , -0.77965731, -0.28977528, -1.10587153,
        1.49839702])]"
45499,movel_fit,"[array([891.82712324, 407.10660478, 170.71453243])]","[array([ 0.34245827, -0.76738592, -0.80053176, -0.27220213, -1.06186011,
        1.37637928])]"
45999,movel_fit,"[array([892.34440601, 417.39338085, 170.91552082])]","[array([ 0.36309266, -0.77929453, -0.81078224, -0.25097166, -1.02754294,
        1.24632266])]"
46499,movel_fit,"[array([893.92164857, 427.56407166, 171.52163281])]","[array([ 0.38112025, -0.77432748, -0.80823978, -0.22956685, -1.00697355,
        1.1200382 ])]"
46999,movel_fit,"[array([896.32653903, 437.5526919 , 172.28937195])]","[array([ 0.39436895, -0.75187064, -0.79228059, -0.21326215, -1.00278344,
        1.00867421])]"
47499,movel_fit,"[array([899.55252114, 447.29990496, 173.15517771])]","[array([ 0.4012535 , -0.71272219, -0.76322979, -0.20649672, -1.01562267,
        0.91916096])]"
47999,movel_fit,"[array([903.55268689, 456.73874107, 174.11599351])]","[array([ 0.40140325, -0.6590079 , -0.72244911, -0.21093072, -1.04458276,
        0.85297011])]"
48499,movel_fit,"[array([908.00783398, 465.96711487, 174.87783767])]","[array([ 0.39576163, -0.59301356, -0.67180161, -0.22546115, -1.08829918,
        0.80704345])]"
48999,movel_fit,"[array([912.74629219, 475.08738839, 175.32105605])]","[array([ 0.38585657, -0.51738579, -0.61356661, -0.2475502 , -1.14450127,
        0.77661699])]"
49499,movel_fit,"[array([917.60411214, 484.14512047, 175.48300087])]","[array([ 0.37347708, -0.43495794, -0.55017486, -0.2742414 , -1.21051575,
        0.7568681 ])]"
49999,movel_fit,"[array([971.20885617, 581.40754758, 170.27422968])]","[array([ 0.28501274,  0.37145518,  0.01096847, -0.60305874, -1.93218425,
        0.50093036])]"
