breakpoints,primitives,points,q_bp
31817,movel_fit,"[array([1105.74968883,  138.43125744,  984.20181066])]","[array([-0.09387088, -0.06436176,  0.48260394, -2.68243123, -1.58354765,
        1.78563231])]"
32322,movel_fit,"[array([1107.90081933,  148.49179765,  982.64715057])]","[array([-0.08584619, -0.03136662,  0.46582243, -2.67937702, -1.61380033,
        1.78179329])]"
32827,movel_fit,"[array([1109.77010602,  158.54909074,  981.20903187])]","[array([-7.85249770e-02, -8.53842945e-04,  4.50985205e-01, -2.67467854e+00,
       -1.64298862e+00,  1.76819062e+00])]"
33332,movel_fit,"[array([1111.28769143,  168.8563129 ,  979.99529745])]","[array([-0.0715251 ,  0.02702367,  0.43800166, -2.6686864 , -1.67106985,
        1.74464146])]"
33837,movel_fit,"[array([1112.38985005,  179.11629302,  978.94438901])]","[array([-0.06480409,  0.0521115 ,  0.42684933, -2.66207122, -1.69788219,
        1.71103063])]"
34342,movel_fit,"[array([1113.06092441,  189.51021045,  978.23480177])]","[array([-0.05796426,  0.07402019,  0.41738899, -2.65543258, -1.72306433,
        1.66825242])]"
34847,movel_fit,"[array([1113.23162644,  199.9918423 ,  977.95045821])]","[array([-0.05078337,  0.09210587,  0.40966062, -2.64949259, -1.74588534,
        1.61785384])]"
35352,movel_fit,"[array([1112.87948815,  210.41197439,  978.052161  ])]","[array([-0.04317634,  0.1055998 ,  0.40382158, -2.64493461, -1.76523445,
        1.56198755])]"
35857,movel_fit,"[array([1111.98345479,  220.78864451,  978.60108428])]","[array([-0.03506486,  0.11354769,  0.40009205, -2.64214481, -1.77981237,
        1.5033875 ])]"
36362,movel_fit,"[array([1110.54219109,  231.11658772,  979.55709789])]","[array([-0.0265138 ,  0.11502564,  0.39883287, -2.64121524, -1.78821103,
        1.44485443])]"
36867,movel_fit,"[array([1108.57452545,  241.28534707,  980.83825052])]","[array([-0.01774162,  0.10929016,  0.40046413, -2.64199559, -1.78924823,
        1.38863305])]"
37372,movel_fit,"[array([1106.16320155,  251.22563034,  982.43830905])]","[array([-0.00896028,  0.09584427,  0.40533537, -2.64411766, -1.78214087,
        1.33628416])]"
37878,movel_fit,"[array([1103.31557673,  261.08809974,  984.31385081])]","[array([-1.95712499e-04,  7.43334448e-02,  4.13913722e-01, -2.64706336e+00,
       -1.76636105e+00,  1.28857280e+00])]"
38383,movel_fit,"[array([1100.04943592,  270.7558824 ,  986.28561921])]","[array([ 0.00840988,  0.04481815,  0.42665894, -2.65040392, -1.74181641,
        1.24572994])]"
38888,movel_fit,"[array([1096.33013002,  280.31386032,  988.16604067])]","[array([ 0.01694053,  0.00746985,  0.44404874, -2.65371004, -1.70862875,
        1.20736868])]"
39393,movel_fit,"[array([1092.35363957,  289.78582638,  989.81323339])]","[array([ 0.0254964 , -0.03697971,  0.46614717, -2.65660263, -1.66737733,
        1.17310219])]"
39898,movel_fit,"[array([1088.17120898,  299.1471826 ,  991.26929453])]","[array([ 0.03417744, -0.08759243,  0.4927908 , -2.65875078, -1.6191839 ,
        1.14271932])]"
40403,movel_fit,"[array([1083.81613723,  308.54641421,  992.40254039])]","[array([ 0.04320883, -0.14300092,  0.52361544, -2.65980916, -1.56534496,
        1.11637717])]"
40908,movel_fit,"[array([1079.26306157,  317.90276425,  993.10759047])]","[array([ 0.05260585, -0.20159338,  0.55796812, -2.65952407, -1.50752772,
        1.09457814])]"
41413,movel_fit,"[array([1074.75491879,  327.26920086,  993.27007157])]","[array([ 0.0623908 , -0.26141346,  0.59478777, -2.65759808, -1.4473259 ,
        1.07832102])]"
41918,movel_fit,"[array([1070.1172152 ,  336.60790853,  993.16038081])]","[array([ 0.07242939, -0.3211252 ,  0.63301904, -2.65373872, -1.38653597,
        1.06916548])]"
42423,movel_fit,"[array([1065.73939467,  346.07469605,  992.65199799])]","[array([ 0.08264075, -0.37910192,  0.67161559, -2.64755175, -1.32600522,
        1.06885225])]"
42928,movel_fit,"[array([1061.86518579,  355.67960469,  991.68321364])]","[array([ 0.09280273, -0.43435127,  0.70990834, -2.63862679, -1.26611659,
        1.07927889])]"
43433,movel_fit,"[array([1058.2976495 ,  365.42063292,  990.56225278])]","[array([ 0.10281636, -0.48685537,  0.74750874, -2.62673945, -1.20711678,
        1.10287497])]"
43938,movel_fit,"[array([1055.28175858,  374.99581302,  989.6136543 ])]","[array([ 0.11250322, -0.53640457,  0.78384436, -2.61210809, -1.14889471,
        1.14197317])]"
44443,movel_fit,"[array([1052.87679237,  384.91708891,  988.8253949 ])]","[array([ 0.12303815, -0.58273607,  0.81849324, -2.59604616, -1.09059893,
        1.19968164])]"
44948,movel_fit,"[array([1051.18082339,  395.0971194 ,  988.36930739])]","[array([ 0.13553664, -0.62491043,  0.85023954, -2.58159342, -1.03239324,
        1.27812698])]"
