state,action,reward,next_state,next_action
1,13,-10,1,0
1,0,-10,21,13
21,13,-10,22,10
22,10,-10,23,9
23,9,-10,24,19
24,19,-10,25,19
25,19,-10,8,6
8,6,-10,29,19
29,19,-10,32,18
32,18,-10,33,19
33,19,-10,35,17
35,17,-10,16,6
16,6,-10,37,19
37,19,-10,39,9
20,16,-10,22,12
22,12,-10,23,6
23,6,-10,24,19
24,19,-10,25,19
25,19,-10,7,6
7,6,-10,29,19
29,19,-10,13,1
13,1,-10,33,19
33,19,-10,35,17
35,17,-10,16,6
16,6,-10,36,18
36,18,-10,39,9
20,16,-10,22,9
22,9,-10,3,15
3,15,-10,23,12
23,12,-10,3,14
3,14,-10,23,1
23,1,-10,24,19
24,19,-10,25,19
25,19,-10,27,18
27,18,-10,29,19
29,19,-10,31,19
31,19,-10,13,1
13,1,-10,33,19
33,19,-10,34,18
34,18,-10,37,19
20,9,-10,0,7
0,7,-10,21,7
21,7,-10,22,13
22,13,-10,22,13
22,13,-10,3,1
3,1,-10,3,1
3,1,-10,23,10
23,10,-10,23,10
23,10,-10,23,11
23,11,-10,3,2
3,2,-10,24,19
24,19,-10,25,19
25,19,-10,27,18
27,18,-10,29,19
29,19,-10,31,19
31,19,-10,33,19
33,19,-10,34,18
34,18,-10,15,18
15,18,-10,36,18
36,18,-10,37,19
37,19,-10,19,9
20,9,-10,20,9
20,9,-10,1,5
1,5,-10,22,1
22,1,-10,22,1
22,1,-10,23,19
23,19,-10,6,9
6,9,-10,29,19
29,19,-10,30,19
30,19,-10,33,19
33,19,-10,36,18
36,18,-10,37,19
37,19,-10,39,9
20,9,-10,20,9
20,9,-10,1,7
1,7,-10,22,14
22,14,-10,24,19
24,19,-10,25,19
25,19,-10,26,19
26,19,-10,28,19
28,19,-10,31,19
31,19,-10,33,19
33,19,-10,34,18
34,18,-10,35,17
35,17,-10,36,18
36,18,-10,36,18
36,18,-10,17,1
17,1,-10,17,1
17,1,-10,17,1
17,1,-10,18,6
18,6,-10,38,9
20,14,-10,21,9
21,9,-10,23,19
23,19,-10,6,9
6,9,-10,7,6
7,6,-10,28,19
28,19,-10,29,19
29,19,-10,31,19
31,19,-10,34,18
34,18,-10,35,3
35,3,-10,35,17
35,17,-10,36,18
36,18,-10,17,1
17,1,-10,17,1
17,1,-10,37,19
37,19,-10,38,9
38,9,-10,39,9
20,17,-10,23,19
23,19,-10,23,19
23,19,-10,5,8
5,8,-10,27,18
27,18,-10,29,19
29,19,-10,32,18
32,18,-10,33,19
33,19,-10,35,17
35,17,-10,36,18
36,18,-10,37,19
37,19,-10,18,14
18,14,-10,18,6
18,6,-10,39,9
20,19,-10,23,19
23,19,-10,26,19
26,19,-10,8,6
8,6,-10,8,6
8,6,-10,9,8
9,8,-10,30,19
30,19,-10,31,19
31,19,-10,32,18
32,18,-10,34,18
34,18,-10,34,18
34,18,-10,35,17
35,17,-10,16,6
16,6,-10,36,18
36,18,-10,37,19
20,18,-10,0,10
0,10,-10,0,10
0,10,-10,0,8
0,8,-10,21,16
21,16,-10,1,2
1,2,-10,22,4
22,4,-10,2,1
2,1,-10,22,3
22,3,-10,2,17
2,17,-10,3,11
3,11,-10,3,9
3,9,-10,24,19
24,19,-10,25,19
25,19,-10,27,18
27,18,-10,28,19
28,19,-10,29,19
29,19,-10,30,19
30,19,-10,31,19
31,19,-10,34,18
34,18,-10,38,9
38,9,-10,39,9
20,18,-10,22,2
22,2,-10,22,2
22,2,-10,22,11
22,11,-10,22,11
22,11,-10,23,19
23,19,-10,4,9
4,9,-10,6,9
6,9,-10,8,6
8,6,-10,29,19
29,19,-10,32,18
32,18,-10,34,18
34,18,-10,35,17
35,17,-10,16,6
16,6,-10,37,19
20,18,-10,23,19
23,19,-10,5,8
5,8,-10,27,18
27,18,-10,29,19
29,19,-10,13,1
13,1,-10,33,19
33,19,-10,37,19
37,19,-10,38,9
20,15,-10,22,5
22,5,-10,22,5
22,5,-10,23,19
23,19,-10,6,9
6,9,-10,9,8
9,8,-10,30,19
30,19,-10,34,18
34,18,-10,35,17
35,17,-10,37,19
20,16,-10,1,14
1,14,-10,22,4
22,4,-10,22,4
22,4,-10,23,19
23,19,-10,5,8
5,8,-10,27,18
27,18,-10,30,19
30,19,-10,13,1
13,1,-10,33,19
33,19,-10,36,18
36,18,-10,37,19
37,19,-10,38,9
20,16,-10,1,12
1,12,-10,21,17
21,17,-10,22,3
22,3,-10,22,3
22,3,-10,22,9
22,9,-10,3,13
3,13,-10,23,19
23,19,-10,26,19
26,19,-10,28,19
28,19,-10,10,8
10,8,-10,31,19
31,19,-10,34,18
34,18,-10,37,19
20,16,-10,22,16
22,16,-10,25,19
25,19,-10,8,6
8,6,-10,28,19
28,19,-10,29,19
29,19,-10,32,18
32,18,-10,34,18
34,18,-10,35,17
35,17,-10,36,18
36,18,-10,37,19
37,19,-10,18,6
18,6,-10,39,9
20,16,-10,1,10
1,10,-10,1,10
1,10,-10,1,19
1,19,-10,2,10
2,10,-10,2,10
2,10,-10,2,14
2,14,-10,22,16
22,16,-10,4,9
4,9,-10,25,19
25,19,-10,27,18
27,18,-10,29,19
29,19,-10,31,19
31,19,-10,33,19
33,19,-10,35,17
35,17,-10,36,18
36,18,-10,37,19
20,16,-10,22,14
22,14,-10,3,17
3,17,-10,3,17
3,17,-10,24,19
24,19,-10,5,8
5,8,-10,26,19
26,19,-10,28,19
28,19,-10,29,19
29,19,-10,31,19
31,19,-10,32,18
32,18,-10,13,1
13,1,-10,13,1
13,1,-10,13,1
13,1,-10,13,1
13,1,-10,13,1
13,1,-10,13,1
13,1,-10,13,1
13,1,-10,33,19
33,19,-10,34,18
34,18,-10,37,19
20,14,-10,0,15
0,15,-10,1,16
1,16,-10,1,16
1,16,-10,1,11
1,11,-10,2,0
2,0,-10,22,9
22,9,-10,23,19
23,19,-10,24,19
24,19,-10,6,9
6,9,-10,9,8
9,8,-10,30,19
30,19,-10,33,19
33,19,-10,35,17
35,17,-10,16,6
16,6,-10,37,19
37,19,-10,38,9
38,9,-10,19,9
20,14,-10,21,16
21,16,-10,3,11
3,11,-10,24,19
24,19,-10,5,8
5,8,-10,26,19
26,19,-10,8,6
8,6,-10,29,19
29,19,-10,31,19
31,19,-10,33,19
33,19,-10,14,8
14,8,-10,35,17
35,17,-10,38,9
38,9,-10,19,9
20,14,-10,21,19
21,19,-10,25,19
25,19,-10,7,6
7,6,-10,28,19
28,19,-10,10,8
10,8,-10,31,19
31,19,-10,34,18
34,18,-10,36,18
36,18,-10,38,9
38,9,-10,19,9
20,9,-10,20,9
20,9,-10,1,1
1,1,-10,22,19
22,19,-10,24,19
24,19,-10,26,19
26,19,-10,8,6
8,6,-10,29,19
29,19,-10,32,18
32,18,-10,33,19
33,19,-10,34,18
34,18,-10,35,17
35,17,-10,16,6
16,6,-10,37,19
20,16,-10,22,16
22,16,-10,24,19
24,19,-10,5,8
5,8,-10,6,9
6,9,-10,7,6
7,6,-10,28,19
28,19,-10,30,19
30,19,-10,32,18
32,18,-10,34,18
34,18,-10,35,17
35,17,-10,36,18
36,18,-10,37,19
37,19,-10,18,6
18,6,-10,39,9
20,18,-10,23,19
23,19,-10,6,9
6,9,-10,28,19
28,19,-10,9,8
9,8,-10,10,8
10,8,-10,11,8
11,8,-10,32,18
32,18,-10,33,19
33,19,-10,34,16
34,16,-10,35,17
35,17,-10,36,18
36,18,-10,37,19
37,19,-10,38,9
20,14,-10,21,18
21,18,-10,4,7
4,7,-10,25,19
25,19,-10,27,18
27,18,-10,8,6
8,6,-10,30,19
30,19,-10,32,18
32,18,-10,33,19
33,19,-10,34,18
34,18,-10,16,6
16,6,-10,36,18
36,18,-10,39,9
20,17,-10,23,19
23,19,-10,4,13
4,13,-10,25,19
25,19,-10,5,8
5,8,-10,26,19
26,19,-10,7,6
7,6,-10,8,6
8,6,-10,9,8
9,8,-10,11,8
11,8,-10,12,7
12,7,-10,13,1
13,1,-10,13,1
13,1,-10,13,1
13,1,-10,33,19
33,19,-10,14,8
14,8,-10,35,17
35,17,-10,35,17
35,17,-10,38,9
38,9,-10,39,9
20,8,-10,20,8
20,8,-10,21,15
21,15,-10,2,3
2,3,-10,2,3
2,3,-10,22,15
22,15,-10,3,18
3,18,-10,24,19
24,19,-10,26,19
26,19,-10,29,19
29,19,-10,31,19
31,19,-10,32,18
32,18,-10,13,1
13,1,-10,33,19
33,19,-10,34,18
34,18,-10,37,19
20,19,-10,23,19
23,19,-10,6,9
6,9,-10,29,19
29,19,-10,32,18
32,18,-10,33,19
33,19,-10,34,18
34,18,-10,36,18
36,18,-10,36,18
36,18,-10,39,9
20,6,-10,20,6
20,6,-10,21,12
21,12,-10,22,10
22,10,-10,22,10
22,10,-10,22,12
22,12,-10,23,19
23,19,-10,26,19
26,19,-10,7,6
7,6,-10,28,19
28,19,-10,31,19
31,19,-10,33,19
33,19,-10,34,18
34,18,-10,35,17
35,17,-10,16,6
16,6,-10,37,19
37,19,-10,18,6
18,6,-10,38,9
20,15,-10,21,8
21,8,-10,22,14
22,14,-10,2,8
2,8,-10,22,0
22,0,-10,23,19
23,19,-10,4,18
4,18,-10,24,19
24,19,-10,25,19
25,19,-10,26,19
26,19,-10,27,18
27,18,-10,9,8
9,8,-10,30,19
30,19,-10,11,8
11,8,-10,32,18
32,18,-10,32,18
32,18,-10,33,19
33,19,-10,37,19
37,19,-10,38,9
20,11,-10,20,11
20,11,-10,20,14
20,14,-10,1,18
1,18,-10,2,19
2,19,-10,22,14
22,14,-10,23,19
23,19,-10,5,8
5,8,-10,27,18
27,18,-10,30,19
30,19,-10,33,19
33,19,-10,35,17
35,17,-10,17,1
17,1,-10,37,19
37,19,-10,39,9
20,14,-10,0,16
0,16,-10,1,6
1,6,-10,21,19
21,19,-10,24,19
24,19,-10,5,8
5,8,-10,27,18
27,18,-10,9,8
9,8,-10,30,19
30,19,-10,31,19
31,19,-10,14,8
14,8,-10,34,18
34,18,-10,38,9
38,9,-10,19,9
20,14,-10,0,5
0,5,-10,21,4
21,4,-10,21,4
21,4,-10,22,17
22,17,-10,23,19
23,19,-10,25,19
25,19,-10,8,6
8,6,-10,29,19
29,19,-10,32,18
32,18,-10,34,18
34,18,-10,36,18
36,18,-10,37,19
37,19,-10,19,9
20,14,-10,21,16
21,16,-10,2,5
2,5,-10,22,15
22,15,-10,22,15
22,15,-10,3,5
3,5,-10,4,0
4,0,-10,4,0
4,0,-10,5,8
5,8,-10,27,18
27,18,-10,29,19
29,19,-10,31,19
31,19,-10,32,18
32,18,-10,13,1
13,1,-10,14,8
14,8,-10,34,18
34,18,-10,38,9
38,9,-10,39,9
20,14,-10,21,14
21,14,-10,23,19
23,19,-10,24,19
24,19,-10,6,9
6,9,-10,9,8
9,8,-10,31,19
31,19,-10,34,18
34,18,-10,36,18
36,18,-10,37,19
20,14,-10,20,14
20,14,-10,1,4
1,4,-10,1,4
1,4,-10,21,11
21,11,-10,2,11
2,11,-10,2,11
2,11,-10,2,2
2,2,-10,2,2
2,2,-10,2,16
2,16,-10,23,19
23,19,-10,24,19
24,19,-10,6,9
6,9,-10,8,6
8,6,-10,9,8
9,8,-10,10,8
10,8,-10,31,19
31,19,-10,31,19
31,19,-10,35,17
35,17,-10,37,19
20,14,-10,21,13
21,13,-10,22,13
22,13,-10,3,3
3,3,-10,3,3
3,3,-10,4,1
4,1,-10,4,1
4,1,-10,24,19
24,19,-10,26,19
26,19,-10,7,6
7,6,-10,29,19
29,19,-10,32,18
32,18,-10,33,19
33,19,-10,34,18
34,18,-10,35,17
35,17,-10,16,6
16,6,-10,36,18
36,18,-10,39,9
20,13,-10,20,13
20,13,-10,1,17
1,17,-10,21,5
21,5,-10,22,18
22,18,-10,24,19
24,19,-10,5,8
5,8,-10,27,18
27,18,-10,29,19
29,19,-10,32,18
32,18,-10,35,17
35,17,-10,16,6
16,6,-10,37,19
20,12,-10,20,12
20,12,-10,21,15
21,15,-10,1,19
1,19,-10,2,4
2,4,-10,22,8
22,8,-10,23,19
23,19,-10,24,19
24,19,-10,6,9
6,9,-10,27,18
27,18,-10,29,19
29,19,-10,32,18
32,18,-10,34,18
34,18,-10,36,18
36,18,-10,17,1
17,1,-10,17,1
17,1,-10,37,19
37,19,-10,38,9
20,18,-10,23,19
23,19,-10,24,19
24,19,-10,4,14
4,14,-10,25,19
25,19,-10,26,19
26,19,-10,27,18
27,18,-10,8,6
8,6,-10,9,8
9,8,-10,10,8
10,8,-10,32,18
32,18,-10,13,1
13,1,-10,13,1
13,1,-10,13,1
13,1,-10,13,1
13,1,-10,14,8
14,8,-10,34,18
34,18,-10,35,17
35,17,-10,16,6
16,6,-10,16,6
16,6,-10,36,18
36,18,-10,39,9
20,16,-10,1,11
1,11,-10,1,11
1,11,-10,1,18
1,18,-10,21,7
21,7,-10,22,19
22,19,-10,24,19
24,19,-10,6,9
6,9,-10,29,19
29,19,-10,31,19
31,19,-10,32,18
32,18,-10,37,19
20,16,-10,22,16
22,16,-10,24,19
24,19,-10,25,19
25,19,-10,5,8
5,8,-10,27,18
27,18,-10,28,19
28,19,-10,29,19
29,19,-10,31,19
31,19,-10,32,18
32,18,-10,33,19
33,19,-10,34,18
34,18,-10,14,1
14,1,-10,35,17
35,17,-10,15,18
15,18,-10,36,18
36,18,-10,17,1
17,1,-10,17,19
17,19,-10,37,19
37,19,-10,39,9
20,7,-10,20,7
20,7,-10,21,9
21,9,-10,22,9
22,9,-10,3,8
3,8,-10,24,19
24,19,-10,25,19
25,19,-10,8,6
8,6,-10,9,8
9,8,-10,31,19
31,19,-10,13,1
13,1,-10,33,19
33,19,-10,37,19
37,19,-10,38,9
20,14,-10,21,16
21,16,-10,24,19
24,19,-10,6,9
6,9,-10,29,19
29,19,-10,32,18
32,18,-10,34,18
34,18,-10,37,19
20,17,-10,2,9
2,9,-10,22,13
22,13,-10,23,17
23,17,-10,4,9
4,9,-10,5,8
5,8,-10,26,19
26,19,-10,28,19
28,19,-10,30,19
30,19,-10,31,19
31,19,-10,32,18
32,18,-10,13,1
13,1,-10,13,1
13,1,-10,14,8
14,8,-10,34,18
34,18,-10,37,19
20,17,-10,21,18
21,18,-10,21,18
21,18,-10,3,16
3,16,-10,3,16
3,16,-10,4,13
4,13,-10,4,13
4,13,-10,4,7
4,7,-10,26,19
26,19,-10,29,19
29,19,-10,31,19
31,19,-10,32,18
32,18,-10,14,8
14,8,-10,34,18
34,18,-10,38,9
38,9,-10,19,9
20,9,-10,20,9
20,9,-10,1,0
1,0,-10,22,6
22,6,-10,22,6
22,6,-10,23,16
23,16,-10,25,19
25,19,-10,8,6
8,6,-10,29,19
29,19,-10,32,18
32,18,-10,35,17
35,17,-10,37,19
20,19,-10,21,15
21,15,-10,23,16
23,16,-10,25,19
25,19,-10,8,6
8,6,-10,29,19
29,19,-10,32,18
32,18,-10,34,18
34,18,-10,36,18
36,18,-10,38,9
38,9,-10,39,9
20,5,-10,20,5
20,5,-10,21,11
21,11,-10,21,11
21,11,-10,21,17
21,17,-10,3,7
3,7,-10,23,16
23,16,-10,25,19
25,19,-10,26,19
26,19,-10,28,19
28,19,-10,31,19
31,19,-10,33,19
33,19,-10,34,18
34,18,-10,35,17
35,17,-10,36,18
36,18,-10,37,19
37,19,-10,18,6
18,6,-10,39,9
20,15,-10,22,12
22,12,-10,22,12
22,12,-10,3,2
3,2,-10,3,2
3,2,-10,23,16
23,16,-10,4,7
4,7,-10,24,19
24,19,-10,26,19
26,19,-10,27,18
27,18,-10,8,6
8,6,-10,9,8
9,8,-10,30,19
30,19,-10,12,7
12,7,-10,13,1
13,1,-10,13,1
13,1,-10,13,1
13,1,-10,13,1
13,1,-10,14,8
14,8,-10,14,8
14,8,-10,35,17
35,17,-10,16,6
16,6,-10,16,6
16,6,-10,36,18
36,18,-10,39,9
20,2,-10,20,2
20,2,-10,20,1
20,1,-10,20,1
20,1,-10,20,17
20,17,-10,22,7
22,7,-10,22,7
22,7,-10,23,19
23,19,-10,7,6
7,6,-10,28,19
28,19,-10,12,7
12,7,-10,33,19
33,19,-10,36,18
36,18,-10,37,19
20,16,-10,22,18
22,18,-10,23,19
23,19,-10,26,19
26,19,-10,28,19
28,19,-10,31,19
31,19,-10,14,8
14,8,-10,35,17
35,17,-10,37,19
37,19,-10,39,9
20,3,-10,20,3
20,3,-10,20,0
20,0,-10,20,0
20,0,-10,20,4
20,4,-10,21,19
21,19,-10,22,1
