j1,j2,j3,j4,j5,j6
-0.00059497,0.039508565,-0.006996512,-0.028159547,-0.123580253,-0.034770768
-0.000596404,0.039508564,-0.006994332,-0.028161621,-0.123583252,-0.034770942
-0.000597839,0.039508563,-0.006992153,-0.028163694,-0.123586252,-0.034771115
-0.000599274,0.039508562,-0.006989974,-0.028165767,-0.123589252,-0.034771288
-0.000600709,0.03950856,-0.006987794,-0.02816784,-0.123592251,-0.034771461
-0.000602144,0.039508558,-0.006985614,-0.028169913,-0.12359525,-0.034771635
-0.00060358,0.039508556,-0.006983433,-0.028171986,-0.123598249,-0.034771809
-0.000605015,0.039508554,-0.006981253,-0.028174059,-0.123601248,-0.034771983
-0.00060645,0.039508551,-0.006979072,-0.028176131,-0.123604247,-0.034772157
-0.000607886,0.039508548,-0.006976892,-0.028178204,-0.123607246,-0.034772331
-0.000609321,0.039508545,-0.006974711,-0.028180276,-0.123610244,-0.034772505
-0.000610757,0.039508542,-0.006972529,-0.028182348,-0.123613243,-0.034772679
-0.000612192,0.039508538,-0.006970348,-0.02818442,-0.123616241,-0.034772854
-0.000613628,0.039508534,-0.006968166,-0.028186492,-0.123619239,-0.034773029
-0.000615064,0.03950853,-0.006965984,-0.028188564,-0.123622237,-0.034773203
-0.0006165,0.039508526,-0.006963802,-0.028190636,-0.123625235,-0.034773379
-0.000617936,0.039508521,-0.00696162,-0.028192707,-0.123628232,-0.034773554
-0.000619372,0.039508516,-0.006959437,-0.028194778,-0.12363123,-0.034773729
-0.000620808,0.039508511,-0.006957255,-0.02819685,-0.123634227,-0.034773904
-0.000622245,0.039508506,-0.006955072,-0.028198921,-0.123637224,-0.03477408
-0.000623681,0.0395085,-0.006952888,-0.028200992,-0.123640221,-0.034774255
-0.000625117,0.039508495,-0.006950705,-0.028203063,-0.123643218,-0.034774431
-0.000626554,0.039508488,-0.006948521,-0.028205133,-0.123646215,-0.034774607
-0.00062799,0.039508482,-0.006946338,-0.028207204,-0.123649211,-0.034774783
-0.000629427,0.039508476,-0.006944154,-0.028209274,-0.123652208,-0.034774959
-0.000630864,0.039508469,-0.006941969,-0.028211344,-0.123655204,-0.034775136
-0.000632301,0.039508462,-0.006939785,-0.028213415,-0.1236582,-0.034775312
-0.000633738,0.039508455,-0.0069376,-0.028215485,-0.123661196,-0.034775489
-0.000635175,0.039508447,-0.006935416,-0.028217555,-0.123664192,-0.034775665
-0.000636612,0.039508439,-0.006933231,-0.028219624,-0.123667188,-0.034775842
-0.000638049,0.039508431,-0.006931045,-0.028221694,-0.123670183,-0.034776019
-0.000639486,0.039508423,-0.00692886,-0.028223763,-0.123673179,-0.034776197
-0.000640924,0.039508414,-0.006926674,-0.028225833,-0.123676174,-0.034776374
-0.000642361,0.039508406,-0.006924488,-0.028227902,-0.123679169,-0.034776551
-0.000643798,0.039508397,-0.006922302,-0.028229971,-0.123682164,-0.034776729
-0.000645236,0.039508387,-0.006920116,-0.02823204,-0.123685158,-0.034776907
-0.000646674,0.039508378,-0.006917929,-0.028234109,-0.123688153,-0.034777084
-0.000648111,0.039508368,-0.006915743,-0.028236178,-0.123691148,-0.034777262
-0.000649549,0.039508358,-0.006913556,-0.028238246,-0.123694142,-0.034777441
-0.000650987,0.039508348,-0.006911369,-0.028240315,-0.123697136,-0.034777619
-0.000652425,0.039508337,-0.006909181,-0.028242383,-0.12370013,-0.034777797
-0.000653863,0.039508326,-0.006906994,-0.028244451,-0.123703124,-0.034777976
-0.000655301,0.039508315,-0.006904806,-0.028246519,-0.123706118,-0.034778154
-0.00065674,0.039508304,-0.006902618,-0.028248587,-0.123709112,-0.034778333
-0.000658178,0.039508293,-0.00690043,-0.028250655,-0.123712105,-0.034778512
-0.000659616,0.039508281,-0.006898241,-0.028252723,-0.123715098,-0.034778691
-0.000661055,0.039508269,-0.006896053,-0.02825479,-0.123718091,-0.03477887
-0.000662494,0.039508257,-0.006893864,-0.028256857,-0.123721085,-0.03477905
-0.000663932,0.039508244,-0.006891675,-0.028258925,-0.123724077,-0.034779229
-0.000665371,0.039508232,-0.006889486,-0.028260992,-0.12372707,-0.034779409
-0.00066681,0.039508218,-0.006887296,-0.028263059,-0.123730062,-0.034779588
-0.000668249,0.039508205,-0.006885107,-0.028265126,-0.123733055,-0.034779768
-0.000669688,0.039508192,-0.006882917,-0.028267192,-0.123736047,-0.034779948
-0.000671127,0.039508178,-0.006880727,-0.028269259,-0.123739039,-0.034780129
-0.000672566,0.039508164,-0.006878537,-0.028271325,-0.123742031,-0.034780309
-0.000674005,0.03950815,-0.006876346,-0.028273392,-0.123745023,-0.034780489
-0.000675444,0.039508135,-0.006874155,-0.028275458,-0.123748015,-0.03478067
-0.000676884,0.039508121,-0.006871964,-0.028277524,-0.123751006,-0.034780851
-0.000678323,0.039508106,-0.006869773,-0.02827959,-0.123753998,-0.034781032
-0.000679763,0.039508091,-0.006867582,-0.028281656,-0.123756989,-0.034781212
